Spec Sec,Type of,Feature/Function,Test Area,Test Case (Description),Precondition,Test Procedures (Steps),Expected Results,Created By,Automated by,Fully Automatable,Result,Prority,Notes,Observations,,
,Negative,Configuration settings window,CCW-03,Setting Probe 1 alrert range to -20 to 30 in celcius,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Probe 1 as Temperature  -> Select Celsius under Units -> Give alert range as -20 to 30 -> Save Configuration
4. Make temperature as 29C and check for Alarm ",Device should not Alarm for the set temperature,,,,PASS,,,PASS,,
,Positive,Configuration settings window,CCW-04,Setting Probe 1 alrert range to 75 to 86 in Fahrenheit,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Probe 1 as Temperature  -> Select Fahrenheit under Units -> Give alert range as 75 to 86 -> Save Configuration","If the temperature goes beyond 75F and 86F, device should Alarm for the configured duration",,,,PASS,,,PASS,,
,Negative,Configuration settings window,CCW-05,Setting Probe 1 alrert range to 75 to 86 in Fahrenheit,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Probe 1 as Temperature  -> Select Fahrenheit under Units -> Give alert range as 75 to 86 -> Save Configuration
4. Make temperature as 76F and check for Alarm ",Device should not Alarm for the set temperature,,,,PASS,,,PASS,,
,Negative,Configuration settings window,CCW-06,Setting Probe 1 alrert range to 75 to 86 in Fahrenheit,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Probe 1 as Temperature  -> Select Fahrenheit under Units -> Give alert range as 75 to 86 -> Save Configuration
4. Make temperature as 85F and check for Alarm ",Device should not Alarm for the set temperature,,,,PASS,,,PASS,,
,Positive,Configuration settings window,CCW-07,Setting Probe 2 alrert range to -20 to 30 in celsius,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Probe 2 as Temperature  -> Select Celsius under Units -> Give alert range as -20 to 30 -> Save Configuration","If the temperature goes beyond -20C and 30C, device should Alarm for the configured duration",,,,PASS,,,,Didn't reflect changes in display till configure in app,
,Negative,Configuration settings window,CCW-08,Setting Probe 2 alrert range to -20 to 30 in celsius,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Probe 2 as Temperature  -> Select Celsius under Units -> Give alert range as -20 to 30 -> Save Configuration
4. Make temperature as -21C and check for Alarm ",Device should not Alarm for the set temperature,,,,PASS,,,PASS,,
,Negative,Configuration settings window,CCW-09,Setting Probe 2 alrert range to -20 to 30 in celsius,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Probe 2 as Temperature  -> Select Celsius under Units -> Give alert range as -20 to 30 -> Save Configuration
4. Make temperature as 29C and check for Alarm ",Device should not Alarm for the set temperature,,,,PASS,,,PASS,,
,Positive,Configuration settings window,CCW-10,Setting Probe 2 alrert range to -20 to 30 in Fahrenheit,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Probe 2 as Temperature  -> Select Fahrenheit under Units -> Give alert range as -20 to 30 -> Save Configuration","If the temperature goes beyond -20F and 30F, device should Alarm for the configured duration",,,,PASS,,,PASS,,
,Negative,Configuration settings window,CCW-11,Setting Probe 2 alrert range to -20 to 30 in Fahrenheit,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Probe 2 as Temperature  -> Select Fahrenheit under Units -> Give alert range as -20 to 30 -> Save Configuration
4. Make temperature as -21F and check for Alarm ",Device should not Alarm for the set temperature,,,,PASS,,,PASS,,
,Negative,Configuration settings window,CCW-12,Setting Probe 2 alrert range to -20 to 30 in Fahrenheit,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Probe 2 as Temperature  -> Select Fahrenheit under Units -> Give alert range as -20 to 30 -> Save Configuration
4. Make temperature as 29F and check for Alarm ",Device should not Alarm for the set temperature,,,,PASS,,,,,
,Positive,Configuration settings window,CALT-01,Setting Local Alert to No Alert ,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose No Alert under Local Alert -> Save Configuration ",Should not get any LED indication or Buzzer  when temperature goes beyond range or Door opens,,,,PASS,,,,,
,Positive,Configuration settings window,CALT-02,Setting Local Alert to LED Alert ,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose LED Alert under Local Alert -> Save Configuration ",Should get only LED indication when temperature goes beyond range or Door opens,,,,PASS,,,,,
,Positive,Configuration settings window,CALT-03,Setting Local Alert to Buzzer Alert ,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Buzzer Alert under Local Alert -> Save Configuration ",Should get only Buzzer when temperature goes beyond range or Door opens,,,,PASS,,,,,
,Positive,Configuration settings window,CALT-04,Setting Local Alert to LED & Buzzer Alert ,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose LED & Buzzer Alert under Local Alert -> Save Configuration ",Should get both LED indication & Buzzer when temperature goes beyond range or Door opens,,,,PASS,,,,,
,Positive,Configuration settings window,CBLE-05,Setting BLE Ad interval to 100 ms,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose 100 ms under Ad Interval for BLE reporting  -> Save Configuration ",Timestamp between each ADV_IND packets should be 100 ms,,,Timestamp difference between each ADV packet is not as configured,FAIL,,,Timestamp difference between each ADV packet is not as configured,,
,Positive,Configuration settings window,CBLE-06,Setting BLE Ad interval to 250 ms,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose 250 ms under Ad Interval for BLE reporting  -> Save Configuration ",TBD,,,Timestamp difference between each ADV packet is not as configured,FAIL,,,,,
,Positive,Configuration settings window,CBLE-07,Setting BLE Ad interval to 350 ms,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose 350 ms under Ad Interval for BLE reporting  -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CBLE-08,Setting BLE Ad interval to 500 ms,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose 500 ms under Ad Interval for BLE reporting  -> Save Configuration ",TBD,,,Timestamp difference between each ADV packet is not as configured,FAIL,,,,,
,Positive,Configuration settings window,CBLE-09,Setting BLE Ad interval to 700 ms,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose 700 ms under Ad Interval for BLE reporting  -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CBLE-10,Setting BLE Ad interval to 1 sec,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose 1 sec under Ad Interval for BLE reporting  -> Save Configuration ",TBD,,,Timestamp difference between each ADV packet is not as configured,FAIL,,,,,
,Positive,Configuration settings window,CBLE-11,Setting BLE Ad interval to 1.5 sec,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose 1.5 sec under Ad Interval for BLE reporting  -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CBLE-12,Setting BLE Ad interval to 2 sec,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose 2 sec under Ad Interval for BLE reporting -> Save Configuration ",TBD,,,Timestamp difference between each ADV packet is not as configured,FAIL,,,,,
,Positive,Configuration settings window,CW-01,"Setting Wifi Check-in interval = 6 hours
Communication mode = 900 MHz",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as 900 MHz -> Select Wi-fi Check-in interval as 6 hours -> Save Configuration ",TBD,"TCP location data will be sent (profile info)
Star id - 200 or TCP/UDP packet",,,,,,,,
,Positive,Configuration settings window,CW-02,"Setting Wifi Check-in interval = 12 hours
Communication mode = 900 MHz",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as 900 MHz -> Select Wi-fi Check-in interval as 12 hours -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-03,"Setting Wifi Check-in interval = 24 hours
Communication mode = 900 MHz",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as 900 MHz -> Select Wi-fi Check-in interval as 24 hours -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-04,"Setting Wifi Check-in interval = 48 hours
Communication mode = 900 MHz",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as 900 MHz -> Select Wi-fi Check-in interval as 48 hours -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-05,"Setting Wifi Check-in interval = 6 hours
Communication mode = Wifi CCX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as Wifi CCX -> Select Wi-fi Check-in interval as 6 hours -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-06,"Setting Wifi Check-in interval = 12 hours
Communication mode = Wifi CCX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as Wifi CCX -> Select Wi-fi Check-in interval as 12 hours -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-07,"Setting Wifi Check-in interval = 24 hours
Communication mode = Wifi CCX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as Wifi CCX -> Select Wi-fi Check-in interval as 24 hours -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-08,"Setting Wifi Check-in interval = 48 hours
Communication mode = Wifi CCX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as Wifi CCX -> Select Wi-fi Check-in interval as 48 hours -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-09,"Setting Wifi Check-in interval = 6 hours
Communication mode = Wifi ACX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as Wifi ACX -> Select Wi-fi Check-in interval as 6 hours -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-10,"Setting Wifi Check-in interval = 12 hours
Communication mode = Wifi ACX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as Wifi ACX -> Select Wi-fi Check-in interval as 12 hours -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-11,"Setting Wifi Check-in interval = 24 hours
Communication mode = Wifi ACX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as Wifi ACX -> Select Wi-fi Check-in interval as 24 hours -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-12,"Setting Wifi Check-in interval = 48 hours
Communication mode = Wifi ACX",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as Wifi ACX -> Select Wi-fi Check-in interval as 48 hours -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-13,"Setting Wifi Check-in interval = 6 hours
Communication mode = Wifi TCP",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as Wifi TCP -> Select Wi-fi Check-in interval as 6 hours -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-14,"Setting Wifi Check-in interval = 12 hours
Communication mode = Wifi TCP",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as Wifi TCP -> Select Wi-fi Check-in interval as 12 hours -> Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CW-15,"Setting Wifi Check-in interval = 24 hours
Communication mode = Wifi TCP",None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Communication mode as Wifi TCP -> Select Wi-fi Check-in interval as 24 hours -> Save Configuration ",TBD,,,,,,,,,
